,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,pib,pib_lower,pib_upper,tasa iva,tasa iva_lower,tasa iva_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2002-01-01,316040.29435680003,79184.96117256036,105838.35087786181,316040.29435680003,316040.29435680003,-0.0743656985528928,-0.0743656985528928,-0.0743656985528928,-0.7063145855535323,-0.7063145855535323,-0.7063145855535323,-0.08603840256467762,-0.08603840256467762,-0.08603840256467762,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6319488870006396,-0.6319488870006396,-0.6319488870006396,0.0,0.0,0.0,92816.42482996045
1,2002-04-01,317452.862369279,93205.08501667384,119996.6764430617,317452.862369279,317452.862369279,-0.056464098553873035,-0.056464098553873035,-0.056464098553873035,-0.6649974719752602,-0.6649974719752602,-0.6649974719752602,-0.06813680256565786,-0.06813680256565786,-0.06813680256565786,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6085333734213871,-0.6085333734213871,-0.6085333734213871,0.0,0.0,0.0,106347.51142239828
2,2002-07-01,318881.1255818967,91730.49986890846,118610.5846392913,318881.1255818967,318881.1255818967,-0.062177963382334334,-0.062177963382334334,-0.062177963382334334,-0.6700718414259967,-0.6700718414259967,-0.6700718414259967,-0.07385066739411916,-0.07385066739411916,-0.07385066739411916,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6078938780436625,-0.6078938780436625,-0.6078938780436625,0.0,0.0,0.0,105207.86256724066
3,2002-10-01,320325.0839950967,100892.91845134155,127435.35901973872,320325.0839950967,320325.0839950967,-0.05719006637780283,-0.05719006637780283,-0.05719006637780283,-0.6418756587521928,-0.6418756587521928,-0.6418756587521928,-0.06886277038958766,-0.06886277038958766,-0.06886277038958766,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5846855923743899,-0.5846855923743899,-0.5846855923743899,0.0,0.0,0.0,114716.20969089252
4,2003-01-01,321769.04240829666,86298.37047809949,113217.13457810701,321769.04240829666,321769.04240829666,-0.06440342795645944,-0.06440342795645944,-0.06440342795645944,-0.6912575216188234,-0.6912575216188234,-0.6912575216188234,-0.07607613196824427,-0.07607613196824427,-0.07607613196824427,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6268540936623639,-0.6268540936623639,-0.6268540936623639,0.0,0.0,0.0,99343.77161947545
5,2003-04-01,323181.6104212097,97584.30283806981,123380.8429834474,323181.6104212097,323181.6104212097,-0.054651198771215964,-0.054651198771215964,-0.054651198771215964,-0.6569429927448722,-0.6569429927448722,-0.6569429927448722,-0.0663239027830008,-0.0663239027830008,-0.0663239027830008,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6022917939736563,-0.6022917939736563,-0.6022917939736563,0.0,0.0,0.0,110869.71607099281
6,2003-07-01,324609.8736337707,89333.32872740526,115361.53474743427,324609.8736337707,324609.8736337707,-0.06050904272912537,-0.06050904272912537,-0.06050904272912537,-0.6852885726359986,-0.6852885726359986,-0.6852885726359986,-0.0721817467409102,-0.0721817467409102,-0.0721817467409102,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6247795299068732,-0.6247795299068732,-0.6247795299068732,0.0,0.0,0.0,102158.43666773208
7,2003-10-01,326053.8320464697,109253.63608921632,135629.6499949305,326053.8320464697,326053.8320464697,-0.05149700253098659,-0.05149700253098659,-0.05149700253098659,-0.6246529783991256,-0.6246529783991256,-0.6246529783991256,-0.06316970654277142,-0.06316970654277142,-0.06316970654277142,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.573155975868139,-0.573155975868139,-0.573155975868139,0.0,0.0,0.0,122383.33474019413
8,2004-01-01,327497.7904595148,90263.26542630537,116094.9368700499,327497.7904595148,327497.7904595148,-0.05286059103948397,-0.05286059103948397,-0.05286059103948397,-0.6853835419357432,-0.6853835419357432,-0.6853835419357432,-0.0645332950512688,-0.0645332950512688,-0.0645332950512688,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6325229508962593,-0.6325229508962593,-0.6325229508962593,0.0,0.0,0.0,103036.1948582427
9,2004-04-01,328926.0536724182,102498.1577079135,129050.63709256022,328926.0536724182,328926.0536724182,-0.04053675443561861,-0.04053675443561861,-0.04053675443561861,-0.6487979488104573,-0.6487979488104573,-0.6487979488104573,-0.05220945844740344,-0.05220945844740344,-0.05220945844740344,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6082611943748386,-0.6082611943748386,-0.6082611943748386,0.0,0.0,0.0,115519.50473943488
10,2004-07-01,330354.3168853215,101183.4145490941,128805.84079801427,330354.3168853215,330354.3168853215,-0.04809167364090319,-0.04809167364090319,-0.04809167364090319,-0.6533953233239316,-0.6533953233239316,-0.6533953233239316,-0.05976437765268802,-0.05976437765268802,-0.05976437765268802,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6053036496830284,-0.6053036496830284,-0.6053036496830284,0.0,0.0,0.0,114502.35119258032
11,2004-10-01,331798.2752977954,117799.26771031987,144246.61811077056,331798.2752977954,331798.2752977954,-0.03694784624670288,-0.03694784624670288,-0.03694784624670288,-0.6045162470761148,-0.6045162470761148,-0.6045162470761148,-0.04862055025848771,-0.04862055025848771,-0.04862055025848771,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.567568400829412,-0.567568400829412,-0.567568400829412,0.0,0.0,0.0,131220.82712844457
12,2005-01-01,333242.23371026944,86231.11023364612,113844.16645791779,333242.23371026944,333242.23371026944,-0.050236106666434244,-0.050236106666434244,-0.050236106666434244,-0.6980774345123879,-0.6980774345123879,-0.6980774345123879,-0.06190881067821907,-0.06190881067821907,-0.06190881067821907,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6478413278459536,-0.6478413278459536,-0.6478413278459536,0.0,0.0,0.0,100613.35013062696
13,2005-04-01,334654.8017226639,107074.11176547878,132824.10048102716,334654.8017226639,334654.8017226639,-0.030967142701622187,-0.030967142701622187,-0.030967142701622187,-0.6414971067049128,-0.6414971067049128,-0.6414971067049128,-0.042639846713407016,-0.042639846713407016,-0.042639846713407016,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6105299640032906,-0.6105299640032906,-0.6105299640032906,0.0,0.0,0.0,119974.71467266875
14,2005-07-01,336083.0649351962,107909.74062278956,134987.2797948934,336083.0649351962,336083.0649351962,-0.039257157006746646,-0.039257157006746646,-0.039257157006746646,-0.640667296989202,-0.640667296989202,-0.640667296989202,-0.050929861018531475,-0.050929861018531475,-0.050929861018531475,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6014101399824554,-0.6014101399824554,-0.6014101399824554,0.0,0.0,0.0,120765.6361593176
15,2005-10-01,337527.02334786614,119907.54477049681,144651.01576262395,337527.02334786614,337527.02334786614,-0.025785654345883764,-0.025785654345883764,-0.025785654345883764,-0.6086086172083057,-0.6086086172083057,-0.6086086172083057,-0.03745835835766859,-0.03745835835766859,-0.03745835835766859,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.582822962862422,-0.582822962862422,-0.582822962862422,0.0,0.0,0.0,132105.1683976858
16,2006-01-01,338970.98176080594,101497.67958251457,127921.36152843223,338970.98176080594,338970.98176080594,-0.03088683253871715,-0.03088683253871715,-0.03088683253871715,-0.6628357195384916,-0.6628357195384916,-0.6628357195384916,-0.04255953655050198,-0.04255953655050198,-0.04255953655050198,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6319488869997745,-0.6319488869997745,-0.6319488869997745,0.0,0.0,0.0,114288.9071627132
17,2006-04-01,340383.5497734643,114731.00417226287,141498.72128362494,340383.5497734643,340383.5497734643,-0.015664158924730737,-0.015664158924730737,-0.015664158924730737,-0.6241975323458563,-0.6241975323458563,-0.6241975323458563,-0.027336862936515566,-0.027336862936515566,-0.027336862936515566,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6085333734211256,-0.6085333734211256,-0.6085333734211256,0.0,0.0,0.0,127916.97795374495
18,2006-07-01,341811.81298564695,113714.88094112616,140368.25418538813,341811.81298564695,341811.81298564695,-0.02246276175401929,-0.02246276175401929,-0.02246276175401929,-0.630356639798498,-0.630356639798498,-0.630356639798498,-0.03413546576580412,-0.03413546576580412,-0.03413546576580412,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6078938780444787,-0.6078938780444787,-0.6078938780444787,0.0,0.0,0.0,126348.46710858194
19,2006-10-01,343255.7713979634,125414.07672246415,152170.72222644353,343255.7713979634,343255.7713979634,-0.013085013950513275,-0.013085013950513275,-0.013085013950513275,-0.5977706063249449,-0.5977706063249449,-0.5977706063249449,-0.024757717962298104,-0.024757717962298104,-0.024757717962298104,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5846855923744316,-0.5846855923744316,-0.5846855923744316,0.0,0.0,0.0,138067.56080486614
20,2007-01-01,344699.72981027985,106379.83258622355,133598.53466210657,344699.72981027985,344699.72981027985,-0.02354536334338328,-0.02354536334338328,-0.02354536334338328,-0.6503994570069382,-0.6503994570069382,-0.6503994570069382,-0.03521806735516811,-0.03521806735516811,-0.03521806735516811,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6268540936635549,-0.6268540936635549,-0.6268540936635549,0.0,0.0,0.0,120507.21271123551
21,2007-04-01,346112.297821783,122484.52141782538,147489.56821218805,346112.297821783,346112.297821783,-0.008141106058780889,-0.008141106058780889,-0.008141106058780889,-0.6104329000322041,-0.6104329000322041,-0.6104329000322041,-0.019813810070565718,-0.019813810070565718,-0.019813810070565718,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6022917939734231,-0.6022917939734231,-0.6022917939734231,0.0,0.0,0.0,134833.9641256221
22,2007-07-01,347540.5610334139,112123.32567694674,137696.2751302732,347540.5610334139,347540.5610334139,-0.013537141917227515,-0.013537141917227515,-0.013537141917227515,-0.6383166718238201,-0.6383166718238201,-0.6383166718238201,-0.025209845929012344,-0.025209845929012344,-0.025209845929012344,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6247795299065926,-0.6247795299065926,-0.6247795299065926,0.0,0.0,0.0,125699.62679078191
23,2007-10-01,348984.5194447752,135006.1061348135,161771.22226626103,348984.5194447752,348984.5194447752,-0.002705035349829887,-0.002705035349829887,-0.002705035349829887,-0.5758610112178135,-0.5758610112178135,-0.5758610112178135,-0.014377739361614716,-0.014377739361614716,-0.014377739361614716,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5731559758679836,-0.5731559758679836,-0.5731559758679836,0.0,0.0,0.0,148017.94117794425
24,2008-01-01,350428.4778561364,109619.60985335246,136027.3164559492,350428.4778561364,350428.4778561364,-0.019185680236245183,-0.019185680236245183,-0.019185680236245183,-0.6517086311331334,-0.6517086311331334,-0.6517086311331334,-0.030858384248030012,-0.030858384248030012,-0.030858384248030012,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6325229508968881,-0.6325229508968881,-0.6325229508968881,0.0,0.0,0.0,122051.2142424462
25,2008-04-01,351856.74106741644,125460.369155473,151684.7864489953,351856.74106741644,351856.74106741644,0.0019550730406742607,0.0019550730406742607,0.0019550730406742607,-0.6063061213341244,-0.6063061213341244,-0.6063061213341244,-0.009717630971110568,-0.009717630971110568,-0.009717630971110568,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6082611943747986,-0.6082611943747986,-0.6082611943747986,0.0,0.0,0.0,138523.84512556586
26,2008-07-01,353285.00427869643,122801.45693171614,150019.10325062755,353285.00427869643,353285.00427869643,-0.008496781059474646,-0.008496781059474646,-0.008496781059474646,-0.6138004307425545,-0.6138004307425545,-0.6138004307425545,-0.020169485071259475,-0.020169485071259475,-0.020169485071259475,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6053036496830799,-0.6053036496830799,-0.6053036496830799,0.0,0.0,0.0,136438.51647754735
27,2008-10-01,354728.9626901004,138956.52584916548,164457.61461915224,354728.9626901004,354728.9626901004,-0.004757320088330255,-0.004757320088330255,-0.004757320088330255,-0.5723257209178684,-0.5723257209178684,-0.5723257209178684,-0.016430024100115084,-0.016430024100115084,-0.016430024100115084,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5675684008295381,-0.5675684008295381,-0.5675684008295381,0.0,0.0,0.0,151708.45338804106
28,2009-01-01,356172.92110130255,97818.38565571341,123916.99074315612,356172.92110130255,356172.92110130255,-0.04002775620281398,-0.04002775620281398,-0.04002775620281398,-0.6878690840491557,-0.6878690840491557,-0.6878690840491557,-0.05170046021459881,-0.05170046021459881,-0.05170046021459881,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6478413278463417,-0.6478413278463417,-0.6478413278463417,0.0,0.0,0.0,111172.58010023736
29,2009-04-01,357585.48911226116,113662.27220070003,140797.55272239563,357585.48911226116,357585.48911226116,-0.03332799554428482,-0.03332799554428482,-0.03332799554428482,-0.6438579595474542,-0.6438579595474542,-0.6438579595474542,-0.04500069955606965,-0.04500069955606965,-0.04500069955606965,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6105299640031694,-0.6105299640031694,-0.6105299640031694,0.0,0.0,0.0,127351.2257286623
30,2009-07-01,359013.7523237911,119902.82326222044,147139.61027458136,359013.7523237911,359013.7523237911,-0.02770170406113487,-0.02770170406113487,-0.02770170406113487,-0.629111844042076,-0.629111844042076,-0.629111844042076,-0.0393744080729197,-0.0393744080729197,-0.0393744080729197,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6014101399809411,-0.6014101399809411,-0.6014101399809411,0.0,0.0,0.0,133153.94856290575
31,2009-10-01,360457.7107354477,133732.55571867758,159312.80484177452,360457.7107354477,360457.7107354477,-0.010976648154197573,-0.010976648154197573,-0.010976648154197573,-0.5937996110166426,-0.5937996110166426,-0.5937996110166426,-0.022649352165982403,-0.022649352165982403,-0.022649352165982403,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5828229628624451,-0.5828229628624451,-0.5828229628624451,0.0,0.0,0.0,146418.06231278938
32,2010-01-01,361901.6691471044,104607.05328220926,130071.62199067412,361901.6691471044,361901.6691471044,-0.043903548553609825,-0.043903548553609825,-0.043903548553609825,-0.6758524355535468,-0.6758524355535468,-0.6758524355535468,-0.035783406632368196,-0.035783406632368196,-0.035783406632368196,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.631948886999937,-0.631948886999937,-0.631948886999937,0.0,0.0,0.0,117309.54462314
33,2010-04-01,363314.2371580242,119148.33913245499,145657.2303837443,363314.2371580242,363314.2371580242,-0.02780396075694238,-0.02780396075694238,-0.02780396075694238,-0.6363373341782051,-0.6363373341782051,-0.6363373341782051,-0.019683818835700747,-0.019683818835700747,-0.019683818835700747,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6085333734212628,-0.6085333734212628,-0.6085333734212628,0.0,0.0,0.0,132123.8240158989
34,2010-07-01,364742.5003690654,117950.02854723025,145410.36566040487,364742.5003690654,364742.5003690654,-0.029780745598078646,-0.029780745598078646,-0.029780745598078646,-0.6376746236430263,-0.6376746236430263,-0.6376746236430263,-0.021660603676837017,-0.021660603676837017,-0.021660603676837017,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6078938780449477,-0.6078938780449477,-0.6078938780449477,0.0,0.0,0.0,132155.46371960524
35,2010-10-01,366186.45878057677,133832.67614466196,159704.1548508641,366186.45878057677,366186.45878057677,-0.014927794481035837,-0.014927794481035837,-0.014927794481035837,-0.5996133868554986,-0.5996133868554986,-0.5996133868554986,-0.0068076525597942075,-0.0068076525597942075,-0.0068076525597942075,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5846855923744627,-0.5846855923744627,-0.5846855923744627,0.0,0.0,0.0,146616.1560105337
36,2011-01-01,367630.41719208815,113276.51478062454,139302.900608192,367630.41719208815,367630.41719208815,-0.0302616580869182,-0.0302616580869182,-0.0302616580869182,-0.6571157517496622,-0.6571157517496622,-0.6571157517496622,-0.022141516165676566,-0.022141516165676566,-0.022141516165676566,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.626854093662744,-0.626854093662744,-0.626854093662744,0.0,0.0,0.0,126054.67923286722
37,2011-04-01,369042.9852033493,127839.99679997755,153121.10637373046,369042.9852033493,369042.9852033493,-0.017151518275450063,-0.017151518275450063,-0.017151518275450063,-0.6194433122492089,-0.6194433122492089,-0.6194433122492089,-0.009031376354208432,-0.009031376354208432,-0.009031376354208432,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6022917939737589,-0.6022917939737589,-0.6022917939737589,0.0,0.0,0.0,140441.77608665082
38,2011-07-01,370471.2484142732,119928.82413219713,148059.13616956514,370471.2484142732,370471.2484142732,-0.014249308633091158,-0.014249308633091158,-0.014249308633091158,-0.6390288385389012,-0.6390288385389012,-0.6390288385389012,-0.006129166711849528,-0.006129166711849528,-0.006129166711849528,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6247795299058101,-0.6247795299058101,-0.6247795299058101,0.0,0.0,0.0,133729.43682804343
39,2011-10-01,371915.2068253172,146509.8692539823,171761.95498827074,371915.2068253172,371915.2068253172,0.0015123510729215424,0.0015123510729215424,0.0015123510729215424,-0.5716436247952876,-0.5716436247952876,-0.5716436247952876,0.009632492994163173,0.009632492994163173,0.009632492994163173,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5731559758682092,-0.5731559758682092,-0.5731559758682092,0.0,0.0,0.0,159312.24987920377
40,2012-01-01,373359.1652366093,119507.40326387926,146784.3454823221,373359.1652366093,373359.1652366093,-0.011841167006052394,-0.011841167006052394,-0.011841167006052394,-0.644364117902413,-0.644364117902413,-0.644364117902413,-0.0037210250848107628,-0.0037210250848107628,-0.0037210250848107628,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6325229508963606,-0.6325229508963606,-0.6325229508963606,0.0,0.0,0.0,132779.9160681403
